Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
109,19,1,18.0,66,1,65.0,18,443,0.9594,16,155,0.8968,19,10,0.9,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1195476575121164,619,609,619,184,0
110,19,1,18.0,67,1,66.0,18,443,0.9594,16,155,0.8968,19,10,0.9,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.121163166397415,619,610,619,185,0
111,19,1,18.0,67,1,66.0,18,444,0.9595,16,155,0.8968,20,10,1.0,10,6,0.6667,25,1,24.0,8,1,7.0,3,1,2.0,1.1225806451612903,620,610,620,186,0
112,19,1,18.0,67,1,66.0,18,444,0.9595,16,155,0.8968,20,10,1.0,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.1209677419354838,620,607,620,185,0
113,19,1,18.0,67,1,66.0,18,445,0.9596,16,155,0.8968,20,10,1.0,9,6,0.5,25,1,24.0,8,1,7.0,3,1,2.0,1.1207729468599035,621,609,621,185,0
114,19,1,18.0,67,1,66.0,18,445,0.9596,16,155,0.8968,21,10,1.1,9,6,0.5,25,1,24.0,8,1,7.0,4,1,3.0,1.1239935587761676,621,608,621,187,0
115,19,1,18.0,67,1,66.0,18,445,0.9596,16,155,0.8968,22,10,1.2,9,6,0.5,25,1,24.0,8,1,7.0,4,1,3.0,1.1256038647342994,621,608,621,188,0
116,19,1,18.0,67,1,66.0,18,446,0.9596,16,155,0.8968,22,10,1.2,9,6,0.5,25,1,24.0,8,1,7.0,4,1,3.0,1.1254019292604502,622,610,622,188,0
117,19,1,18.0,67,1,66.0,18,446,0.9596,16,155,0.8968,23,10,1.3,9,6,0.5,25,1,24.0,8,1,7.0,4,1,3.0,1.1270096463022508,622,609,622,189,0
118,19,1,18.0,67,1,66.0,18,447,0.9597,16,155,0.8968,23,10,1.3,9,6,0.5,25,1,24.0,8,1,7.0,4,1,3.0,1.1268057784911718,623,607,623,189,0
119,19,1,18.0,67,1,66.0,18,447,0.9597,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.130016051364366,623,613,623,191,0
120,19,1,18.0,67,1,66.0,18,448,0.9598,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.1298076923076923,624,616,624,191,0
121,19,1,18.0,67,1,66.0,18,448,0.9598,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.1298076923076923,624,614,624,191,0
122,19,1,18.0,67,1,66.0,17,448,0.9621,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.1314102564102564,624,613,624,190,0
123,19,1,18.0,67,1,66.0,17,449,0.9621,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.1312,625,614,625,190,0
124,19,1,18.0,67,1,66.0,17,449,0.9621,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.1312,625,612,625,190,0
125,21,1,20.0,67,1,66.0,17,450,0.9622,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.134185303514377,626,619,626,192,0
126,21,1,20.0,67,1,66.0,17,450,0.9622,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.134185303514377,626,620,626,192,0
127,21,1,20.0,67,1,66.0,17,451,0.9623,16,155,0.8968,24,10,1.4,9,6,0.5,26,1,25.0,8,1,7.0,4,1,3.0,1.1339712918660287,627,621,627,192,0
